date,date_type_Org,date_type,dayOfWeek
2015/1/1,yuandan,yuandan,4
2015/1/2,yuandan,yuandan,5
2015/1/3,yuandan,yuandan,6
2015/1/4,wd_Shift,wd_Shift,7
2015/1/5,0,0,1
2015/1/6,0,0,2
2015/1/7,4,0,3
2015/1/8,5,0,4
2015/1/9,6,0,5
2015/1/10,7,0,6
2015/1/11,1,0,7
2015/1/12,2,0,1
2015/1/13,3,0,2
2015/1/14,4,0,3
2015/1/15,5,0,4
2015/1/16,6,0,5
2015/1/17,7,0,6
2015/1/18,1,0,7
2015/1/19,2,0,1
2015/1/20,3,0,2
2015/1/21,4,0,3
2015/1/22,5,0,4
2015/1/23,6,0,5
2015/1/24,7,0,6
2015/1/25,1,0,7
2015/1/26,2,0,1
2015/1/27,3,0,2
2015/1/28,4,0,3
2015/1/29,5,0,4
2015/1/30,6,0,5
2015/1/31,7,0,6
2015/2/1,1,0,7
2015/2/2,2,0,1
2015/2/3,3,0,2
2015/2/4,4,0,3
2015/2/5,5,0,4
2015/2/6,6,0,5
2015/2/7,7,0,6
2015/2/8,1,0,7
2015/2/9,2,0,1
2015/2/10,3,0,2
2015/2/11,4,0,3
2015/2/12,5,0,4
2015/2/13,6,0,5
2015/2/14,7,0,6
2015/2/15,wd_Shift,wd_Shift,7
2015/2/16,2,0,1
2015/2/17,3,0,2
2015/2/18,chunjie,chunjie,3
2015/2/19,chunjie,chunjie,4
2015/2/20,chunjie,chunjie,5
2015/2/21,chunjie,chunjie,6
2015/2/22,chunjie,chunjie,7
2015/2/23,chunjie,chunjie,1
2015/2/24,chunjie,chunjie,2
2015/2/25,4,0,3
2015/2/26,5,0,4
2015/2/27,6,0,5
2015/2/28,wd_Shift,wd_Shift,6
2015/3/1,1,0,7
2015/3/2,2,0,1
2015/3/3,3,0,2
2015/3/4,4,0,3
2015/3/5,5,0,4
2015/3/6,6,0,5
2015/3/7,7,0,6
2015/3/8,1,0,7
2015/3/9,2,0,1
2015/3/10,3,0,2
2015/3/11,4,0,3
2015/3/12,5,0,4
2015/3/13,6,0,5
2015/3/14,7,0,6
2015/3/15,1,0,7
2015/3/16,2,0,1
2015/3/17,3,0,2
2015/3/18,4,0,3
2015/3/19,5,0,4
2015/3/20,6,0,5
2015/3/21,7,0,6
2015/3/22,1,0,7
2015/3/23,2,0,1
2015/3/24,3,0,2
2015/3/25,4,0,3
2015/3/26,5,0,4
2015/3/27,6,0,5
2015/3/28,7,0,6
2015/3/29,1,0,7
2015/3/30,2,0,1
2015/3/31,3,0,2
2015/4/1,4,0,3
2015/4/2,5,0,4
2015/4/3,6,0,5
2015/4/4,qingming,qingming,6
2015/4/5,qingming,qingming,7
2015/4/6,qingming,qingming,1
2015/4/7,3,0,2
2015/4/8,4,0,3
2015/4/9,5,0,4
2015/4/10,6,0,5
2015/4/11,7,0,6
2015/4/12,1,0,7
2015/4/13,2,0,1
2015/4/14,3,0,2
2015/4/15,4,0,3
2015/4/16,5,0,4
2015/4/17,6,0,5
2015/4/18,7,0,6
2015/4/19,1,0,7
2015/4/20,2,0,1
2015/4/21,3,0,2
2015/4/22,4,0,3
2015/4/23,5,0,4
2015/4/24,6,0,5
2015/4/25,7,0,6
2015/4/26,1,0,7
2015/4/27,2,0,1
2015/4/28,3,0,2
2015/4/29,4,0,3
2015/4/30,5,0,4
2015/5/1,wuyi,wuyi,5
2015/5/2,wuyi,wuyi,6
2015/5/3,wuyi,wuyi,7
2015/5/4,2,0,1
2015/5/5,3,0,2
2015/5/6,4,0,3
2015/5/7,5,0,4
2015/5/8,6,0,5
2015/5/9,7,0,6
2015/5/10,1,0,7
2015/5/11,2,0,1
2015/5/12,3,0,2
2015/5/13,4,0,3
2015/5/14,5,0,4
2015/5/15,6,0,5
2015/5/16,7,0,6
2015/5/17,1,0,7
2015/5/18,2,0,1
2015/5/19,3,0,2
2015/5/20,4,0,3
2015/5/21,5,0,4
2015/5/22,6,0,5
2015/5/23,7,0,6
2015/5/24,1,0,7
2015/5/25,2,0,1
2015/5/26,3,0,2
2015/5/27,4,0,3
2015/5/28,5,0,4
2015/5/29,6,0,5
2015/5/30,7,0,6
2015/5/31,1,0,7
2015/6/1,2,0,1
2015/6/2,3,0,2
2015/6/3,4,0,3
2015/6/4,5,0,4
2015/6/5,6,0,5
2015/6/6,7,0,6
2015/6/7,1,0,7
2015/6/8,2,0,1
2015/6/9,3,0,2
2015/6/10,4,0,3
2015/6/11,5,0,4
2015/6/12,6,0,5
2015/6/13,7,0,6
2015/6/14,1,0,7
2015/6/15,2,0,1
2015/6/16,3,0,2
2015/6/17,4,0,3
2015/6/18,5,0,4
2015/6/19,6,0,5
2015/6/20,duanwu,duanwu,6
2015/6/21,duanwu,duanwu,7
2015/6/22,duanwu,duanwu,1
2015/6/23,3,0,2
2015/6/24,4,0,3
2015/6/25,5,0,4
2015/6/26,6,0,5
2015/6/27,7,0,6
2015/6/28,1,0,7
2015/6/29,2,0,1
2015/6/30,3,0,2
2015/7/1,4,0,3
2015/7/2,5,0,4
2015/7/3,6,0,5
2015/7/4,7,0,6
2015/7/5,1,0,7
2015/7/6,2,0,1
2015/7/7,3,0,2
2015/7/8,4,0,3
2015/7/9,5,0,4
2015/7/10,6,0,5
2015/7/11,7,0,6
2015/7/12,1,0,7
2015/7/13,2,0,1
2015/7/14,3,0,2
2015/7/15,4,0,3
2015/7/16,5,0,4
2015/7/17,6,0,5
2015/7/18,7,0,6
2015/7/19,1,0,7
2015/7/20,2,0,1
2015/7/21,3,0,2
2015/7/22,4,0,3
2015/7/23,5,0,4
2015/7/24,6,0,5
2015/7/25,7,0,6
2015/7/26,1,0,7
2015/7/27,2,0,1
2015/7/28,3,0,2
2015/7/29,4,0,3
2015/7/30,5,0,4
2015/7/31,6,0,5
2015/8/1,7,0,6
2015/8/2,1,0,7
2015/8/3,2,0,1
2015/8/4,3,0,2
2015/8/5,4,0,3
2015/8/6,5,0,4
2015/8/7,6,0,5
2015/8/8,7,0,6
2015/8/9,1,0,7
2015/8/10,2,0,1
2015/8/11,3,0,2
2015/8/12,4,0,3
2015/8/13,5,0,4
2015/8/14,6,0,5
2015/8/15,7,0,6
2015/8/16,1,0,7
2015/8/17,2,0,1
2015/8/18,3,0,2
2015/8/19,4,0,3
2015/8/20,5,0,4
2015/8/21,6,0,5
2015/8/22,7,0,6
2015/8/23,1,0,7
2015/8/24,2,0,1
2015/8/25,3,0,2
2015/8/26,4,0,3
2015/8/27,5,0,4
2015/8/28,Guijie,Guijie,5
2015/8/29,7,0,6
2015/8/30,1,0,7
2015/8/31,2,0,1
2015/9/1,3,0,2
2015/9/2,4,0,3
2015/9/3,kangri,kangri,4
2015/9/4,kangri,kangri,5
2015/9/5,kangri,kangri,6
2015/9/6,wd_Shift,wd_Shift,7
2015/9/7,2,0,1
2015/9/8,3,0,2
2015/9/9,4,0,3
2015/9/10,5,0,4
2015/9/11,6,0,5
2015/9/12,7,0,6
2015/9/13,1,0,7
2015/9/14,2,0,1
2015/9/15,3,0,2
2015/9/16,4,0,3
2015/9/17,5,0,4
2015/9/18,6,0,5
2015/9/19,7,0,6
2015/9/20,1,0,7
2015/9/21,2,0,1
2015/9/22,3,0,2
2015/9/23,4,0,3
2015/9/24,5,0,4
2015/9/25,6,0,5
2015/9/26,zhongqiu,zhongqiu,6
2015/9/27,zhongqiu,zhongqiu,7
2015/9/28,zhongqiu,zhongqiu,1
2015/9/29,3,0,2
2015/9/30,4,0,3
2015/10/1,shiyi,shiyi,4
2015/10/2,shiyi,shiyi,5
2015/10/3,shiyi,shiyi,6
2015/10/4,shiyi,shiyi,7
2015/10/5,shiyi,shiyi,1
2015/10/6,shiyi,shiyi,2
2015/10/7,shiyi,shiyi,3
2015/10/8,5,0,4
2015/10/9,6,0,5
2015/10/10,wd_Shift,wd_Shift,6
2015/10/11,1,0,7
2015/10/12,2,0,1
2015/10/13,3,0,2
2015/10/14,4,0,3
2015/10/15,5,0,4
2015/10/16,6,0,5
2015/10/17,7,0,6
2015/10/18,1,0,7
2015/10/19,2,0,1
2015/10/20,3,0,2
2015/10/21,4,0,3
2015/10/22,5,0,4
2015/10/23,6,0,5
2015/10/24,7,0,6
2015/10/25,1,0,7
2015/10/26,2,0,1
2015/10/27,3,0,2
2015/10/28,4,0,3
2015/10/29,5,0,4
