predict_date,predict_power_consumption
20160901,2159319
20160902,2028898
20160903,2000570
20160904,1724363
20160905,2104242
20160906,1946480
20160907,1964594
20160908,1973627
20160909,2247282
20160910,1843207
20160911,1639378
20160912,1971391
20160913,2064837
20160914,2010423
20160915,1704832
20160916,1703156
20160917,1616255
20160918,1674121
20160919,1895731
20160920,1918148
20160921,1920424
20160922,1938376
20160923,1962230
20160924,1802052
20160925,1613257
20160926,1962392
20160927,2039138
20160928,1963075
20160929,1935643
20160930,1961968
