date,high_T,low_T,skycon,skycon2
2015/1/1,8,-4,clear_day,clear_day
2015/1/2,13,0,partly_cloudy_day,cloudy
2015/1/3,16,3,partly_cloudy_day,cloudy
2015/1/4,15,4,clear_day,clear_day
2015/1/5,10,2,rain,rain
2015/1/6,7,-1,cloudy,cloudy
2015/1/7,7,-2,clear_day,clear_day
2015/1/8,12,-1,clear_day,clear_day
2015/1/9,14,1,clear_day,clear_day
2015/1/10,14,1,clear_day,clear_day
2015/1/11,10,1,partly_cloudy_day,cloudy
2015/1/12,8,3,cloudy,cloudy
2015/1/13,8,4,rain,rain
2015/1/14,10,4,cloudy,cloudy
2015/1/15,11,3,partly_cloudy_day,cloudy
2015/1/16,7,-1,partly_cloudy_day,cloudy
2015/1/17,9,-1,partly_cloudy_day,cloudy
2015/1/18,11,0,partly_cloudy_day,cloudy
2015/1/19,10,2,partly_cloudy_day,cloudy
2015/1/20,11,4,partly_cloudy_day,cloudy
2015/1/21,7,0,partly_cloudy_day,cloudy
2015/1/22,11,-2,clear_day,clear_day
2015/1/23,15,2,partly_cloudy_day,cloudy
2015/1/24,11,7,cloudy,cloudy
2015/1/25,10,6,cloudy,cloudy
2015/1/26,6,2,cloudy,cloudy
2015/1/27,3,0,snow,snow
2015/1/28,2,-1,snow,snow
2015/1/29,3,-1,snow,snow
2015/1/30,4,-2,partly_cloudy_day,cloudy
2015/1/31,5,-1,cloudy,cloudy
2015/2/1,7,1,cloudy,cloudy
2015/2/2,7,2,cloudy,cloudy
2015/2/3,7,2,cloudy,cloudy
2015/2/4,7,-2,partly_cloudy_day,cloudy
2015/2/5,9,-2,clear_day,clear_day
2015/2/6,12,-1,partly_cloudy_day,cloudy
2015/2/7,6,0,partly_cloudy_day,cloudy
2015/2/8,6,-4,clear_day,clear_day
2015/2/9,15,0,clear_day,clear_day
2015/2/10,15,0,clear_day,clear_day
2015/2/11,15,0,clear_day,clear_day
2015/2/12,15,0,clear_day,clear_day
2015/2/13,19,3,clear_day,clear_day
2015/2/14,15,10,rain,rain
2015/2/15,15,9,cloudy,cloudy
2015/2/16,14,3,partly_cloudy_day,cloudy
